sku,code,gtin,name,brand,color,model,price,sizes,errors,images,season,made_in,category,feed_name,department,product_id,season_year,color_original,made_in_original,category_original,materials_original,department_original,unit_system_name_original,year,collection,dimensions,collection_original,title,sizes_raw,season_raw,description,size_system,category_item,season_display,sizes_original,vendor_product_id,_missing_fields,_has_images,_image_count,lens_all_matches,lens_brand_matches,confidence_score,_enrichment_tool,_enrichment_status,_enrichment_fill_rate,_enriched_fields,_enrichment_error,_enrichment_accuracy_score,match_reason,source_url,image_links
3849563,460110 C0510 06,[],SHIRT,FINAMORE,,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""color""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],FW23,,SHIRTS,loschi,male,,,,,,,UOMO,,2023,,,,,,,SHIRT,,,,,,9,false,0,,,none,noimg-claude,failed,0,,,,,,
3849223,RC16BJE 150108 B3442,[],SUIT,TAGLIATORE,,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""color""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],FW23,,SUITS,loschi,male,,,,,,,UOMO,,2023,,,,,,,SUIT,,,,,,9,false,0,,,none,noimg-claude,failed,0,,,,,,
3849553,460110 C0510 04,[],SHIRT,FINAMORE,,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""color""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],FW23,,SHIRTS,loschi,male,,,,,,,UOMO,,2023,,,,,,,SHIRT,,,,,,9,false,0,,,none,noimg-claude,failed,0,,,,,,
3847633,812530 ZY270 Z4996,[],CREWNECK SWEATER,ZANONE,,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""color""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],FW23,,JUMPERS,loschi,male,,,,,,,UOMO,,2023,,,,,,,CREWNECK SWEATER,,,,,,9,false,0,,,none,noimg-claude,failed,0,,,,,,
3852913,2857NNB WDBR,[],CROP MICRO BOOT,L'AGENCE,denim,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""}]",[],SS24,UNITED STATES,JEANS,loschi,female,,,,,,,DONNA,,2024,,,,,,,CROP MICRO BOOT,,,,,,7,false,0,,,none,noimg-claude,failed,0,,,,,,
3853183,LHWDS316 BRCN,[],DENIM SHIRT,FRAME,,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""color""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""}]",[],SS24,TURKEY,SHIRTS,loschi,male,,,,,,,UOMO,,2024,,,,,,,DENIM SHIRT,,,,,,8,false,0,,,high,noimg-claude,failed,0,,,,Official FRAME brand store; product page explicitly lists SKU 'LHWDS316-BRCN' and matches 'Western Denim Shirt' in Barcelona (BRCN) colorway with product images and full details.,https://frame-store.com/products/western-denim-shirt-barcelona,
3850073,GT149E FU4LG W0800,[],TIE,DOLCE & GABBANA,bianco,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""}]",[],SS24,BANGLADESH,TIES & BOW TIES,loschi,male,,,,,,,UOMO,,2024,,,,,,,TIE,,,,,,7,false,0,,,medium,noimg-claude,failed,0,,,,"Dolce & Gabbana white tie on italist with 6cm width, 100% silk — matches brand, color, and category, but exact product code GT149E FU4LG W0800 not confirmed in snippet",https://www.italist.com/us/men/accessories/ties/dolce-gabbana-white-tie/10980287/11149700/dolce-gabbana/,"https://cdn-images.italist.com/image/upload/t_medium_dpr_2_q_auto_v_2,f_auto/4f9739d26cd24a1746fe9b688e5bb1eb.jpg|https://www.italist.com/_next/image?url=https%3A%2F%2Fcdn-images.italist.com%2Fimage%2Fupload%2Ft_medium_dpr_2_q_auto_v_2%2Cf_auto%2F42e070f84bce1e8b18b71fa6b7845166.jpg&w=256&q=75|https://d3adw1na09u8f7.cloudfront.net/2024/05/30201547/DG.png|https://www.italist.com/_next/image?url=https%3A%2F%2Fcdn-images.italist.com%2Fimage%2Fupload%2Ft_medium_dpr_2_q_auto_v_2%2Cf_auto%2F21b3ba15ee0dabf1039327c953441852.jpg&w=256&q=75"
3857413,PJTE145C00481 P112,[],T-SHIRT,RABANNE,bianco,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""}]",[],SS24,PORTUGAL,T-SHIRTS & TOPS,loschi,female,,,,,,,DONNA,,2024,,,,,,,T-SHIRT,,,,,,7,false,0,,,none,noimg-claude,failed,0,,,,,,
3866633,7210AV 24S58 069,[],BARBARA KRUGER SKIRT,ANTONINO VALENTI,nero/bianco,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],SS24,,SKIRTS,loschi,female,,,,,,,DONNA,,2024,,,,,,,BARBARA KRUGER SKIRT,,,,,,8,false,0,,,none,noimg-claude,failed,0,,,,,,
3866673,7214AV 24S58 069,[],DADA MAINO DRESS,ANTONINO VALENTI,bianco/nero,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],SS24,,DRESS,loschi,female,,,,,,,DONNA,,2024,,,,,,,DADA MAINO DRESS,,,,,,8,false,0,,,none,noimg-claude,failed,0,,,,,,
3858143,DCDD442 DVTFN 1W00V,[],BELT H.30 VITELLO,VERSACE,bianco/oro,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],SS24,,BELTS,loschi,female,,,,,,Leather 100%%,DONNA,,2024,,,,,,,BELT H.30 VITELLO,,,,,,8,false,0,,,none,noimg-claude,failed,0,,,,,,
3870473,K14148 BLACK,[],LEATHER JACKET,DESA,nero,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],SS24,,JACKETS & PADDED OUTERWEAR,loschi,male,,,,,,,UOMO,,2024,,,,,,,LEATHER JACKET,,,,,,8,false,0,,,none,noimg-claude,failed,0,,,,,,
3868823,71KB0588S35175 144,[],TROUSERS,DSQUARED2,,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""color""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""}]",[],SS24,ITALY,TROUSERS,loschi,male,,,,,,,UOMO,,2024,,,,,,,TROUSERS,,,,,,8,false,0,,,none,noimg-claude,failed,0,,,,,,
3866513,F2024823 L823 200,[],RIVER ICONIC PUMP,KHAITE,nero,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""}]",[],SS24,ITALY,PUMPS,loschi,female,,,,,,,DONNA,,2024,,,,,,,RIVER ICONIC PUMP,,,,,,7,false,0,,,medium,noimg-claude,failed,0,,,,"Exact brand (KHAITE), exact product name (River Iconic Pump), exact color (Black), specific product page with images on FWRD — but exact code F2024823 L823 200 not confirmed in results",https://www.fwrd.com/product-khaite-river-iconic-pump-in-black/KTAH-WZ142/,https://is4.fwrdassets.com/images/p/fw/p/KTAH-WZ142_V1.jpg
3871243,381208 100,[],SWEATER,LAMBERTO LOSANI,bianco,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],SS24,,JUMPERS,loschi,female,,,,,,,DONNA,,2024,,,,,,,SWEATER,,,,,,8,false,0,,,none,noimg-claude,failed,0,,,,,,
3871223,381191 901,[],CARDIGAN,LAMBERTO LOSANI,nero,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],SS24,,CARDIGANS,loschi,female,,,,,,,DONNA,,2024,,,,,,,CARDIGAN,,,,,,8,false,0,,,none,noimg-claude,failed,0,,,,,,
3871133,351340 763,[],T-SHIRT,LAMBERTO LOSANI,verde,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],SS24,,T-SHIRTS & TOPS,loschi,female,,,,,,,DONNA,,2024,,,,,,,T-SHIRT,,,,,,8,false,0,,,none,noimg-claude,failed,0,,,,,,
3870513,K14163 H0RIZ0N,[],LEATHER JACKET,DESA,,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""color""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],SS24,,JACKETS & PADDED OUTERWEAR,loschi,male,,,,,,,UOMO,,2024,,,,,,,LEATHER JACKET,,,,,,9,false,0,,,none,noimg-claude,failed,0,,,,,,
3871263,384119 126,[],CARDIGAN,LAMBERTO LOSANI,bianco,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],SS24,,CARDIGANS,loschi,female,,,,,,,DONNA,,2024,,,,,,,CARDIGAN,,,,,,8,false,0,,,none,noimg-claude,failed,0,,,,,,
3870483,K14155* H0RIZ0N,[],LEATHER JACKET,DESA,,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""color""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],SS24,,JACKETS & PADDED OUTERWEAR,loschi,male,,,,,,,UOMO,,2024,,,,,,,LEATHER JACKET,,,,,,9,false,0,,,,noimg-claude,failed,0,,Failed to parse JSON from search response,,,,
3877063,6102AV 23W68 68,[],DESIRÉ JUMPSUIT,ANTONINO VALENTI,,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""color""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],FW23,,JUMPSUITS,loschi,female,,,,,,,DONNA,,2023,,,,,,,DESIRÉ JUMPSUIT,,,,,,9,false,0,,,none,noimg-claude,failed,0,,,,,,
3884743,EFBP15A0106001 B5013,[],SUIT WITH GILET,TAGLIATORE,(nd),,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""color""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],SS24,,SUITS,loschi,male,,,,,,,UOMO,,2024,,,,,,,SUIT WITH GILET,,,,,,9,false,0,,,none,noimg-claude,failed,0,,,,,,
3878023,MCC00Z SH007 U901,[],HAT,BALLY,nero,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],FW23,,HATS,loschi,female,,,,,,,DONNA,,2023,,,,,,,HAT,,,,,,8,false,0,,,none,noimg-claude,failed,0,,,,,,
3884533,46032D T0RT0RA,[],LEATHER COAT,SALVATORE SANTORO,beige,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],SS24,,TRENCH & COATS,loschi,female,,,,,,,DONNA,,2024,,,,,,,LEATHER COAT,,,,,,8,false,0,,,none,noimg-claude,failed,0,,,,,,
3891713,2756PDD/A RYE,[],ALEXIA H-R CROP CIGARETTE JEANS,L'AGENCE,sughero,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],SS24,,JEANS,loschi,female,,,,,,,DONNA,,2024,,,,,,,ALEXIA H/R CROP CIGARETTE JEANS,,,,,,8,false,0,,,none,noimg-claude,failed,0,,,,,,
3887683,WS24DJA011 S0NATA,[],DENIM JACKET,FRAME,,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""color""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],SS24,,JACKETS & PADDED OUTERWEAR,loschi,female,,,,,,,DONNA,,2024,,,,,,,DENIM JACKET,,,,,,9,false,0,,,high,noimg-claude,failed,0,,,,"Cettire product page explicitly lists Designer Model Number WS24DJA011 and Designer Colour SONA (matching S0NATA), FRAME Button-Up Denim Jacket — exact code match on a specific product page.",https://www.cettire.com/products/frame-button-up-denim-jacket-937947113/cmVhY3Rpb24vcHJvZHVjdDpzeWJoZTlRUzhlUTVlbVB3cw==,https://d3vfig6e0r0snz.cloudfront.net/rcYjnYuenaTH5vyDF/images/products/8bdcd34ce593ce6940684e96e8a47ef3.jpg
3884943,JC0RAL1EK A1266,[],JACKET,TAGLIATORE,,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""color""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],SS24,,BLAZERS,loschi,female,,,,,,,DONNA,,2024,,,,,,,JACKET,,,,,,9,false,0,,,none,noimg-claude,failed,0,,,,,,
3885583,PWV0024S24FAB0 01    1001,[],LOGO TOP,PALM ANGELS,nero,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""}]",[],SS24,ITALY,T-SHIRTS & TOPS,loschi,female,,,,,,,DONNA,,2024,,,,,,,LOGO TOP,,,,,,7,false,0,,,none,noimg-claude,failed,0,,,,All 1 candidate URLs returned non-200,,
3891893,D4440603GXV 10601,[],SKIRT,ERMANNO SCERVINO,,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""color""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""}]",[],SS24,ITALY,SKIRTS,loschi,female,,,,,,,DONNA,,2024,,,,,,,SKIRT,,,,,,8,false,0,,,none,noimg-claude,failed,0,,,,,,
3885133,JC0RAL1EK EX840,[],JACKET,TAGLIATORE,,,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""model""},{""error"":""missing_field"",""field"":""color""},{""error"":""missing_field"",""field"":""materials_original""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],SS24,,BLAZERS,loschi,female,,,,,,,DONNA,,2024,,,,,,,JACKET,,,,,,9,false,0,,,none,noimg-claude,failed,0,,,,,,
